code, time total, length, date, time, uri, method, serverType
200, 286, 655, 29.04.2020, 19:24:40, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, solid
200, 220, 699, 29.04.2020, 19:24:41, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, solid
200, 185, 2646, 29.04.2020, 19:24:41, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/, get, solid
200, 252, 1343, 29.04.2020, 19:24:41, https://3.127.247.0:8443/things/, get, solid
201, 232, 7, 29.04.2020, 19:24:42, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/, post, solid
200, 189, 574, 29.04.2020, 19:24:42, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest582020-04-29_19-17-0514.ttl, get, solid
200, 262, 2, 29.04.2020, 19:24:42, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest582020-04-29_19-17-0514.ttl, delete, solid
201, 233, 7, 29.04.2020, 19:24:42, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest582020-04-29_19-17-0514, put, solid
200, 327, 574, 29.04.2020, 19:24:46, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest582020-04-29_19-17-0514, get, solid
200, 216, 2, 29.04.2020, 19:24:46, https://3.127.247.0:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest582020-04-29_19-17-0514, delete, solid
