2020-4-28T04-28-023:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","started-at":"Tue Apr 28 2020 16:28:17 GMT+0000 (Coordinated Universal Time)","start-complete-at":"Tue Apr 28 2020 16:28:21 GMT+0000 (Coordinated Universal Time)","start-duration":"3996"}
2020-4-28T04-33-038:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:33:38 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:33:38 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"33","solid-server-get-request-length":"217","solid-server-get-response-length":"217"}
2020-4-28T04-33-038:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:33:38 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:33:38 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"32","solid-server-get-request-length":"217","solid-server-get-response-length":"217"}
2020-4-28T04-33-039:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:33:39 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:33:39 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"73","solid-server-get-request-length":"397","solid-server-get-response-length":"397"}
2020-4-28T04-33-039:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:33:39 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:33:39 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"24","solid-server-get-request-length":"309","solid-server-get-response-length":"309"}
2020-4-28T04-33-051:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-post-started-at":"Tue Apr 28 2020 16:33:51 GMT+0000 (Coordinated Universal Time)","solid-server-post-finished-at":"Tue Apr 28 2020 16:33:51 GMT+0000 (Coordinated Universal Time)","solid-server-post-duration":"13","solid-server-post-request-length":"895","solid-server-post-response-length":"895"}
2020-4-28T04-33-052:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"26","solid-server-get-request-length":"213","solid-server-get-response-length":"213"}
2020-4-28T04-33-052:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-delete-started-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-delete-finished-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-delete-duration":"21","solid-server-delete-request-length":"235","solid-server-delete-response-length":"235"}
2020-4-28T04-33-052:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-put-started-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-put-finished-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-put-duration":"3","solid-server-put-request-length":"904","solid-server-put-response-length":"904"}
2020-4-28T04-33-052:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"29","solid-server-get-request-length":"209","solid-server-get-response-length":"209"}
2020-4-28T04-33-052:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-delete-started-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-delete-finished-at":"Tue Apr 28 2020 16:33:52 GMT+0000 (Coordinated Universal Time)","solid-server-delete-duration":"8","solid-server-delete-request-length":"231","solid-server-delete-response-length":"231"}
